Product ID,Product Name,Category,Subcategory,Unit Cost,Unit Price,Supplier,Shelf Life
PRD10000,Cheese Item 0,Dairy,Cheese,127.63,143.9,Supplier 1,12
PRD10001,Bread Item 1,Bakery,Bread,422.83,570.2,Supplier 4,37
PRD10002,Accessories Item 2,Electronics,Accessories,74.91,110.8,Supplier 8,70
PRD10003,Men Item 3,Apparel,Men,310.83,461.74,Supplier 2,46
PRD10004,Men Item 4,Apparel,Men,297.77,438.18,Supplier 10,178
PRD10005,Laptop Item 5,Electronics,Laptop,471.91,556.54,Supplier 10,165
PRD10006,Bread Item 6,Bakery,Bread,354.65,432.9,Supplier 10,35
PRD10007,Cheese Item 7,Dairy,Cheese,275.72,376.25,Supplier 2,134
PRD10008,Men Item 8,Apparel,Men,427.8,611.3,Supplier 2,115
PRD10009,Kids Item 9,Apparel,Kids,447.96,575.13,Supplier 3,116
PRD10010,Cookies Item 10,Bakery,Cookies,270.44,367.85,Supplier 10,142
PRD10011,Laptop Item 11,Electronics,Laptop,229.08,318.97,Supplier 5,87
PRD10012,Bread Item 12,Bakery,Bread,153.89,197.03,Supplier 8,150
PRD10013,Laptop Item 13,Electronics,Laptop,33.78,48.66,Supplier 3,129
PRD10014,Cakes Item 14,Bakery,Cakes,402.96,498.11,Supplier 10,75
PRD10015,Yogurt Item 15,Dairy,Yogurt,475.07,538.85,Supplier 7,130
PRD10016,Cookies Item 16,Bakery,Cookies,248.52,344.13,Supplier 8,9
PRD10017,Cheese Item 17,Dairy,Cheese,126.37,173.98,Supplier 5,174
PRD10018,Women Item 18,Apparel,Women,285.67,353.52,Supplier 9,89
PRD10019,Kids Item 19,Apparel,Kids,237.8,290.75,Supplier 4,35
PRD10020,Cakes Item 20,Bakery,Cakes,77.39,101.72,Supplier 3,54
PRD10021,Cookies Item 21,Bakery,Cookies,252.42,350.82,Supplier 9,157
PRD10022,Men Item 22,Apparel,Men,419.66,511.36,Supplier 6,50
PRD10023,Men Item 23,Apparel,Men,359.85,414.06,Supplier 1,18
PRD10024,Kids Item 24,Apparel,Kids,473.16,641.2,Supplier 8,31
PRD10025,Yogurt Item 25,Dairy,Yogurt,156.48,202.09,Supplier 6,52
PRD10026,Cheese Item 26,Dairy,Cheese,471.71,609.02,Supplier 2,107
PRD10027,Mobile Item 27,Electronics,Mobile,296.97,408.21,Supplier 3,43
PRD10028,Men Item 28,Apparel,Men,497.08,570.34,Supplier 7,160
PRD10029,Cookies Item 29,Bakery,Cookies,202.58,296.46,Supplier 5,155
PRD10030,Laptop Item 30,Electronics,Laptop,292.94,329.29,Supplier 2,58
PRD10031,Cakes Item 31,Bakery,Cakes,337.01,391.88,Supplier 3,146
PRD10032,Milk Item 32,Dairy,Milk,21.28,27.24,Supplier 10,125
PRD10033,Men Item 33,Apparel,Men,131.11,181.3,Supplier 8,23
PRD10034,Cakes Item 34,Bakery,Cakes,398.16,537.53,Supplier 4,113
PRD10035,Yogurt Item 35,Dairy,Yogurt,127.91,148.32,Supplier 5,41
PRD10036,Milk Item 36,Dairy,Milk,99.64,121.86,Supplier 10,78
PRD10037,Mobile Item 37,Electronics,Mobile,244.98,299.28,Supplier 7,74
PRD10038,Laptop Item 38,Electronics,Laptop,58.61,65.41,Supplier 7,87
PRD10039,Men Item 39,Apparel,Men,63.84,94.79,Supplier 10,155
PRD10040,Yogurt Item 40,Dairy,Yogurt,414.28,551.2,Supplier 3,125
PRD10041,Laptop Item 41,Electronics,Laptop,107.11,142.9,Supplier 8,28
PRD10042,Laptop Item 42,Electronics,Laptop,216.01,265.35,Supplier 2,46
PRD10043,Women Item 43,Apparel,Women,352.96,428.95,Supplier 7,145
PRD10044,Cheese Item 44,Dairy,Cheese,62.27,74.78,Supplier 2,108
PRD10045,Yogurt Item 45,Dairy,Yogurt,437.3,561.84,Supplier 1,53
PRD10046,Kids Item 46,Apparel,Kids,383.09,517.23,Supplier 1,57
PRD10047,Kids Item 47,Apparel,Kids,82.89,100.73,Supplier 8,36
PRD10048,Yogurt Item 48,Dairy,Yogurt,312.26,373.38,Supplier 3,84
PRD10049,Yogurt Item 49,Dairy,Yogurt,215.84,256.82,Supplier 2,123
PRD10050,Yogurt Item 50,Dairy,Yogurt,419.43,544.99,Supplier 5,135
PRD10051,Women Item 51,Apparel,Women,420.67,627.68,Supplier 4,121
PRD10052,Cakes Item 52,Bakery,Cakes,111.49,149.37,Supplier 3,22
PRD10053,Women Item 53,Apparel,Women,183.14,259.16,Supplier 5,5
PRD10054,Kids Item 54,Apparel,Kids,163.31,217.98,Supplier 8,43
PRD10055,Accessories Item 55,Electronics,Accessories,252.48,311.3,Supplier 9,101
PRD10056,Laptop Item 56,Electronics,Laptop,437.41,652.75,Supplier 4,151
PRD10057,Mobile Item 57,Electronics,Mobile,430.89,544.78,Supplier 6,126
PRD10058,Laptop Item 58,Electronics,Laptop,494.44,700.6,Supplier 3,131
PRD10059,Milk Item 59,Dairy,Milk,261.1,348.85,Supplier 2,117
PRD10060,Yogurt Item 60,Dairy,Yogurt,457.01,505.52,Supplier 3,109
PRD10061,Bread Item 61,Bakery,Bread,245.36,365.02,Supplier 6,164
PRD10062,Accessories Item 62,Electronics,Accessories,58.55,72.1,Supplier 9,102
PRD10063,Kids Item 63,Apparel,Kids,364.98,512.34,Supplier 9,14
PRD10064,Milk Item 64,Dairy,Milk,322.96,474.23,Supplier 4,28
PRD10065,Mobile Item 65,Electronics,Mobile,384.98,531.87,Supplier 2,118
PRD10066,Cookies Item 66,Bakery,Cookies,163.74,182.01,Supplier 6,19
PRD10067,Women Item 67,Apparel,Women,199.92,231.55,Supplier 9,110
PRD10068,Bread Item 68,Bakery,Bread,104.03,139.8,Supplier 7,163
PRD10069,Cakes Item 69,Bakery,Cakes,458.16,530.2,Supplier 8,168
PRD10070,Women Item 70,Apparel,Women,142.56,157.35,Supplier 8,78
PRD10071,Bread Item 71,Bakery,Bread,232.03,287.31,Supplier 10,81
PRD10072,Accessories Item 72,Electronics,Accessories,140.05,201.41,Supplier 4,103
PRD10073,Mobile Item 73,Electronics,Mobile,133.86,177.87,Supplier 10,80
PRD10074,Men Item 74,Apparel,Men,489.41,667.21,Supplier 5,7
PRD10075,Yogurt Item 75,Dairy,Yogurt,377.68,541.27,Supplier 5,63
PRD10076,Men Item 76,Apparel,Men,325.58,439.0,Supplier 3,165
PRD10077,Yogurt Item 77,Dairy,Yogurt,330.24,404.07,Supplier 8,13
PRD10078,Kids Item 78,Apparel,Kids,83.08,121.62,Supplier 6,111
PRD10079,Bread Item 79,Bakery,Bread,83.44,109.79,Supplier 6,140
PRD10080,Men Item 80,Apparel,Men,143.35,204.97,Supplier 8,80
PRD10081,Men Item 81,Apparel,Men,244.8,276.65,Supplier 4,178
PRD10082,Accessories Item 82,Electronics,Accessories,195.57,276.98,Supplier 1,72
PRD10083,Cheese Item 83,Dairy,Cheese,196.92,275.61,Supplier 5,154
PRD10084,Accessories Item 84,Electronics,Accessories,471.34,538.9,Supplier 4,125
PRD10085,Yogurt Item 85,Dairy,Yogurt,444.43,588.68,Supplier 10,61
PRD10086,Yogurt Item 86,Dairy,Yogurt,415.45,608.12,Supplier 5,171
PRD10087,Mobile Item 87,Electronics,Mobile,87.09,128.76,Supplier 5,131
PRD10088,Milk Item 88,Dairy,Milk,132.7,174.5,Supplier 7,121
PRD10089,Kids Item 89,Apparel,Kids,475.7,655.8,Supplier 9,112
PRD10090,Cakes Item 90,Bakery,Cakes,334.36,479.3,Supplier 10,109
PRD10091,Men Item 91,Apparel,Men,351.33,417.0,Supplier 8,65
PRD10092,Men Item 92,Apparel,Men,490.85,612.06,Supplier 6,20
PRD10093,Laptop Item 93,Electronics,Laptop,111.11,127.65,Supplier 8,28
PRD10094,Cookies Item 94,Bakery,Cookies,326.96,486.66,Supplier 1,90
PRD10095,Bread Item 95,Bakery,Bread,397.75,470.17,Supplier 9,58
PRD10096,Bread Item 96,Bakery,Bread,177.71,205.97,Supplier 10,5
PRD10097,Men Item 97,Apparel,Men,494.01,650.16,Supplier 3,33
PRD10098,Milk Item 98,Dairy,Milk,27.13,38.42,Supplier 4,155
PRD10099,Men Item 99,Apparel,Men,103.64,116.18,Supplier 7,139
